starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 02 09:20:13 2015	1446436213	1	9	10	9
Mon Nov 02 09:20:12 2015	1446436212	1	8	10	8
Mon Nov 02 09:20:11 2015	1446436211	1	9	10	9
Mon Nov 02 09:20:13 2015	1446436213	2	8	10	8
Mon Nov 02 09:20:12 2015	1446436212	2	8	10	8
Mon Nov 02 09:20:13 2015	1446436213	1	10	11	10
Mon Nov 02 09:20:13 2015	1446436213	1	10	11	10
Mon Nov 02 09:20:11 2015	1446436211	2	9	11	9
Mon Nov 02 09:20:11 2015	1446436211	1	11	11	11
Mon Nov 02 09:20:13 2015	1446436213	1	11	11	11
Mon Nov 02 09:20:13 2015	1446436213	1	11	11	11
Mon Nov 02 09:20:12 2015	1446436212	2	10	11	10
Mon Nov 02 09:20:12 2015	1446436212	1	10	12	10
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	10	12	10
Mon Nov 02 09:20:13 2015	1446436213	2	9	12	9
Mon Nov 02 09:20:13 2015	1446436213	1	11	12	11
Mon Nov 02 09:20:13 2015	1446436213	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:13 2015	1446436213	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:12 2015	1446436212	1	11	12	11
Mon Nov 02 09:20:12 2015	1446436212	1	11	12	11
Mon Nov 02 09:20:13 2015	1446436213	1	11	12	11
Mon Nov 02 09:20:12 2015	1446436212	1	11	12	11
Mon Nov 02 09:20:11 2015	1446436211	2	10	12	10
Mon Nov 02 09:20:11 2015	1446436211	4	8	12	8
Mon Nov 02 09:20:12 2015	1446436212	1	12	12	12
Mon Nov 02 09:20:11 2015	1446436211	1	11	12	11
Mon Nov 02 09:20:12 2015	1446436212	1	12	12	12
Mon Nov 02 09:20:12 2015	1446436212	2	11	13	11
Mon Nov 02 09:20:11 2015	1446436211	1	12	13	12
Mon Nov 02 09:20:11 2015	1446436211	1	12	13	12
Mon Nov 02 09:20:13 2015	1446436213	1	12	13	11
Mon Nov 02 09:20:13 2015	1446436213	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	12	13	12
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	12	13	12
Mon Nov 02 09:20:13 2015	1446436213	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	12
Mon Nov 02 09:20:13 2015	1446436213	2	11	13	11
Mon Nov 02 09:20:11 2015	1446436211	1	13	13	12
Mon Nov 02 09:20:11 2015	1446436211	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:11 2015	1446436211	2	12	13	12
Mon Nov 02 09:20:11 2015	1446436211	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:11 2015	1446436211	1	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:11 2015	1446436211	1	13	13	12
Mon Nov 02 09:20:12 2015	1446436212	2	12	13	12
Mon Nov 02 09:20:11 2015	1446436211	2	11	13	11
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:11 2015	1446436211	2	12	13	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	13	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	13	13
Mon Nov 02 09:20:12 2015	1446436212	1	12	14	12
Mon Nov 02 09:20:13 2015	1446436213	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:11 2015	1446436211	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	0	13	14	13
Mon Nov 02 09:20:11 2015	1446436211	2	11	14	11
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	2	12	14	12
Mon Nov 02 09:20:12 2015	1446436212	2	12	14	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	2	12	14	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	2	11	14	11
Mon Nov 02 09:20:13 2015	1446436213	2	12	14	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	2	12	14	12
Mon Nov 02 09:20:11 2015	1446436211	0	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	0	14	14	14
Mon Nov 02 09:20:12 2015	1446436212	1	14	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	2	12	14	12
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:12 2015	1446436212	1	13	14	13
Mon Nov 02 09:20:13 2015	1446436213	2	13	15	13
Mon Nov 02 09:20:12 2015	1446436212	2	13	15	13
Mon Nov 02 09:20:11 2015	1446436211	1	13	15	13
Mon Nov 02 09:20:12 2015	1446436212	1	14	15	14
Mon Nov 02 09:20:13 2015	1446436213	2	12	15	12
Mon Nov 02 09:20:12 2015	1446436212	2	13	15	13
Mon Nov 02 09:20:13 2015	1446436213	1	14	15	13
Mon Nov 02 09:20:13 2015	1446436213	2	13	15	13
Mon Nov 02 09:20:13 2015	1446436213	2	13	15	13
Mon Nov 02 09:20:13 2015	1446436213	1	14	15	14
Mon Nov 02 09:20:11 2015	1446436211	1	14	15	14
Mon Nov 02 09:20:13 2015	1446436213	2	13	15	13
Mon Nov 02 09:20:11 2015	1446436211	2	13	15	13
Mon Nov 02 09:20:11 2015	1446436211	1	14	15	14
Mon Nov 02 09:20:13 2015	1446436213	2	13	15	13
Mon Nov 02 09:20:11 2015	1446436211	1	13	15	13
Mon Nov 02 09:20:11 2015	1446436211	1	14	15	14
Mon Nov 02 09:20:11 2015	1446436211	1	14	15	14
Mon Nov 02 09:20:11 2015	1446436211	1	14	15	14
Mon Nov 02 09:20:11 2015	1446436211	2	13	15	13
Mon Nov 02 09:20:13 2015	1446436213	1	14	15	14
Mon Nov 02 09:20:11 2015	1446436211	1	15	15	14
