starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 28 20:36:50 2015	1443452810	1	12	13	11
Mon Sep 28 20:36:50 2015	1443452810	1	12	13	12
Mon Sep 28 20:36:51 2015	1443452811	1	12	13	12
Mon Sep 28 20:36:50 2015	1443452810	1	13	13	12
Mon Sep 28 20:36:50 2015	1443452810	1	12	13	12
Mon Sep 28 20:36:50 2015	1443452810	1	13	14	12
Mon Sep 28 20:36:52 2015	1443452812	1	13	14	12
Mon Sep 28 20:36:52 2015	1443452812	1	13	14	12
Mon Sep 28 20:36:50 2015	1443452810	1	13	14	13
Mon Sep 28 20:36:51 2015	1443452811	1	13	14	12
Mon Sep 28 20:36:50 2015	1443452810	1	13	14	13
Mon Sep 28 20:36:51 2015	1443452811	1	13	14	13
Mon Sep 28 20:36:51 2015	1443452811	1	13	14	13
Mon Sep 28 20:36:50 2015	1443452810	2	12	14	12
Mon Sep 28 20:36:51 2015	1443452811	1	13	14	12
Mon Sep 28 20:36:52 2015	1443452812	2	13	14	12
Mon Sep 28 20:36:52 2015	1443452812	1	14	14	13
Mon Sep 28 20:36:51 2015	1443452811	1	13	14	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:52 2015	1443452812	1	14	14	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:52 2015	1443452812	2	13	14	12
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	14	13
Mon Sep 28 20:36:51 2015	1443452811	1	13	15	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	15	13
Mon Sep 28 20:36:51 2015	1443452811	2	12	15	12
Mon Sep 28 20:36:50 2015	1443452810	1	14	15	13
Mon Sep 28 20:36:50 2015	1443452810	1	14	15	13
