starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:09:25 2015	1441687165	1	10	11	9
Tue Sep 08 10:09:24 2015	1441687164	3	9	12	9
Tue Sep 08 10:09:28 2015	1441687168	1	13	14	12
Tue Sep 08 10:09:26 2015	1441687166	1	13	14	13
Tue Sep 08 10:09:26 2015	1441687166	1	13	14	13
Tue Sep 08 10:09:26 2015	1441687166	1	14	14	13
Tue Sep 08 10:09:25 2015	1441687165	2	13	15	12
Tue Sep 08 10:09:25 2015	1441687165	1	15	15	14
Tue Sep 08 10:09:25 2015	1441687165	1	14	15	13
Tue Sep 08 10:09:28 2015	1441687168	1	15	15	14
Tue Sep 08 10:09:25 2015	1441687165	1	15	16	14
Tue Sep 08 10:09:25 2015	1441687165	1	15	16	15
Tue Sep 08 10:09:25 2015	1441687165	1	15	16	14
Tue Sep 08 10:09:25 2015	1441687165	3	13	16	12
Tue Sep 08 10:09:27 2015	1441687167	1	16	16	15
Tue Sep 08 10:09:25 2015	1441687165	1	16	16	15
Tue Sep 08 10:09:26 2015	1441687166	1	16	16	15
Tue Sep 08 10:09:25 2015	1441687165	2	15	17	14
Tue Sep 08 10:09:26 2015	1441687166	1	16	17	16
Tue Sep 08 10:09:25 2015	1441687165	1	16	17	15
Tue Sep 08 10:09:27 2015	1441687167	1	16	17	15
Tue Sep 08 10:09:25 2015	1441687165	1	17	17	16
Tue Sep 08 10:09:26 2015	1441687166	1	16	17	16
Tue Sep 08 10:09:25 2015	1441687165	3	14	17	14
Tue Sep 08 10:09:24 2015	1441687164	0	17	17	16
Tue Sep 08 10:09:27 2015	1441687167	1	16	17	16
Tue Sep 08 10:09:25 2015	1441687165	1	17	17	16
Tue Sep 08 10:09:25 2015	1441687165	3	14	17	12
Tue Sep 08 10:09:27 2015	1441687167	3	15	17	14
Tue Sep 08 10:09:27 2015	1441687167	1	16	17	16
Tue Sep 08 10:09:27 2015	1441687167	2	16	17	15
Tue Sep 08 10:09:27 2015	1441687167	1	16	18	15
Tue Sep 08 10:09:27 2015	1441687167	1	17	18	16
Tue Sep 08 10:09:25 2015	1441687165	1	17	18	17
Tue Sep 08 10:09:27 2015	1441687167	1	17	18	16
Tue Sep 08 10:09:27 2015	1441687167	1	17	18	16
Tue Sep 08 10:09:27 2015	1441687167	1	17	18	17
Tue Sep 08 10:09:27 2015	1441687167	1	17	18	16
Tue Sep 08 10:09:26 2015	1441687166	1	17	18	17
Tue Sep 08 10:09:24 2015	1441687164	3	15	18	15
Tue Sep 08 10:09:25 2015	1441687165	1	17	18	17
Tue Sep 08 10:09:26 2015	1441687166	1	17	18	16
Tue Sep 08 10:09:24 2015	1441687164	4	14	18	14
Tue Sep 08 10:09:28 2015	1441687168	1	17	18	16
