starttime	seconds	ctime	dtime	ttime	wait
Tue Dec 15 15:54:34 2015	1450175074	1	9	9	9
Tue Dec 15 15:54:34 2015	1450175074	2	8	10	8
Tue Dec 15 15:54:34 2015	1450175074	1	10	10	10
Tue Dec 15 15:54:34 2015	1450175074	0	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	1	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	0	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	1	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	1	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	1	10	11	10
Tue Dec 15 15:54:34 2015	1450175074	1	12	12	12
Tue Dec 15 15:54:34 2015	1450175074	1	11	12	11
Tue Dec 15 15:54:34 2015	1450175074	1	12	12	12
Tue Dec 15 15:54:35 2015	1450175075	1	12	12	12
Tue Dec 15 15:54:34 2015	1450175074	1	12	13	12
Tue Dec 15 15:54:34 2015	1450175074	1	12	13	12
Tue Dec 15 15:54:34 2015	1450175074	1	13	13	12
Tue Dec 15 15:54:35 2015	1450175075	1	13	13	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	13	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:34 2015	1450175074	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:34 2015	1450175074	1	13	14	13
Tue Dec 15 15:54:34 2015	1450175074	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	13	14	13
Tue Dec 15 15:54:36 2015	1450175076	1	14	14	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	14	14
Tue Dec 15 15:54:36 2015	1450175076	1	14	14	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	14	14
Tue Dec 15 15:54:35 2015	1450175075	1	14	14	14
Tue Dec 15 15:54:35 2015	1450175075	1	13	14	13
Tue Dec 15 15:54:35 2015	1450175075	1	14	14	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	14	14
Tue Dec 15 15:54:36 2015	1450175076	1	14	14	14
Tue Dec 15 15:54:35 2015	1450175075	1	14	14	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	15	14
Tue Dec 15 15:54:35 2015	1450175075	1	14	15	14
Tue Dec 15 15:54:36 2015	1450175076	1	14	15	14
Tue Dec 15 15:54:36 2015	1450175076	1	14	15	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	15	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	15	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	15	14
Tue Dec 15 15:54:34 2015	1450175074	1	14	15	14
