starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:07:56 2015	1441687076	1	11	12	10
Tue Sep 08 10:07:58 2015	1441687078	1	11	12	11
Tue Sep 08 10:07:58 2015	1441687078	1	12	12	11
Tue Sep 08 10:07:58 2015	1441687078	1	12	13	11
Tue Sep 08 10:07:58 2015	1441687078	1	13	13	12
Tue Sep 08 10:07:58 2015	1441687078	3	11	14	10
Tue Sep 08 10:07:58 2015	1441687078	1	13	14	12
Tue Sep 08 10:07:58 2015	1441687078	1	13	14	13
Tue Sep 08 10:07:58 2015	1441687078	1	13	14	13
Tue Sep 08 10:07:56 2015	1441687076	2	11	14	11
Tue Sep 08 10:07:55 2015	1441687075	1	13	14	12
Tue Sep 08 10:07:58 2015	1441687078	1	13	14	12
Tue Sep 08 10:07:58 2015	1441687078	0	14	14	13
Tue Sep 08 10:07:58 2015	1441687078	1	14	14	13
Tue Sep 08 10:07:56 2015	1441687076	3	11	14	11
Tue Sep 08 10:07:55 2015	1441687075	3	12	14	11
Tue Sep 08 10:07:58 2015	1441687078	1	14	14	13
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	13
Tue Sep 08 10:07:56 2015	1441687076	1	14	15	13
Tue Sep 08 10:07:58 2015	1441687078	3	12	15	11
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	13
Tue Sep 08 10:07:58 2015	1441687078	2	13	15	12
Tue Sep 08 10:07:57 2015	1441687077	1	14	15	14
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	14
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	14
Tue Sep 08 10:07:55 2015	1441687075	1	15	15	14
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	14
Tue Sep 08 10:07:55 2015	1441687075	1	14	15	14
Tue Sep 08 10:07:58 2015	1441687078	1	14	15	14
Tue Sep 08 10:07:55 2015	1441687075	2	14	15	13
Tue Sep 08 10:07:55 2015	1441687075	1	14	15	13
Tue Sep 08 10:07:58 2015	1441687078	1	15	16	14
Tue Sep 08 10:07:58 2015	1441687078	1	15	16	14
Tue Sep 08 10:07:58 2015	1441687078	1	15	16	14
Tue Sep 08 10:07:58 2015	1441687078	1	15	16	14
Tue Sep 08 10:07:55 2015	1441687075	2	14	16	14
Tue Sep 08 10:07:58 2015	1441687078	1	15	16	14
Tue Sep 08 10:07:58 2015	1441687078	3	13	16	13
Tue Sep 08 10:07:58 2015	1441687078	2	14	16	13
Tue Sep 08 10:07:55 2015	1441687075	1	15	16	15
Tue Sep 08 10:07:55 2015	1441687075	0	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	2	15	17	14
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	1	16	17	16
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	3	14	17	13
Tue Sep 08 10:07:55 2015	1441687075	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	16	17	15
Tue Sep 08 10:07:55 2015	1441687075	2	15	17	14
Tue Sep 08 10:07:58 2015	1441687078	2	16	17	15
Tue Sep 08 10:07:56 2015	1441687076	1	17	17	16
Tue Sep 08 10:07:55 2015	1441687075	1	17	17	16
Tue Sep 08 10:07:56 2015	1441687076	1	16	17	15
Tue Sep 08 10:07:58 2015	1441687078	1	17	18	16
Tue Sep 08 10:07:56 2015	1441687076	2	16	18	15
Tue Sep 08 10:07:57 2015	1441687077	1	17	18	16
Tue Sep 08 10:07:58 2015	1441687078	1	17	18	16
Tue Sep 08 10:07:56 2015	1441687076	1	17	18	16
Tue Sep 08 10:07:58 2015	1441687078	1	17	18	17
Tue Sep 08 10:07:56 2015	1441687076	2	16	18	15
Tue Sep 08 10:07:58 2015	1441687078	1	17	18	17
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	16
Tue Sep 08 10:07:57 2015	1441687077	1	17	18	16
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	17
Tue Sep 08 10:07:56 2015	1441687076	3	15	18	15
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	16
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	16
Tue Sep 08 10:07:58 2015	1441687078	2	16	18	15
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	15
Tue Sep 08 10:07:55 2015	1441687075	2	16	18	15
Tue Sep 08 10:07:55 2015	1441687075	0	18	18	17
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	17
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	17
Tue Sep 08 10:07:56 2015	1441687076	1	17	18	17
Tue Sep 08 10:07:56 2015	1441687076	1	17	18	17
Tue Sep 08 10:07:55 2015	1441687075	1	17	18	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	18	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	18	17
Tue Sep 08 10:07:55 2015	1441687075	2	17	18	16
Tue Sep 08 10:07:58 2015	1441687078	1	18	18	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	18	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	18	16
Tue Sep 08 10:07:56 2015	1441687076	3	16	18	15
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	19	17
Tue Sep 08 10:07:56 2015	1441687076	1	18	19	17
Tue Sep 08 10:07:56 2015	1441687076	0	18	19	18
Tue Sep 08 10:07:58 2015	1441687078	0	18	19	17
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	17
Tue Sep 08 10:07:58 2015	1441687078	1	18	19	17
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	17
Tue Sep 08 10:07:55 2015	1441687075	2	17	19	15
Tue Sep 08 10:07:56 2015	1441687076	1	18	19	17
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	17
Tue Sep 08 10:07:56 2015	1441687076	0	19	19	18
Tue Sep 08 10:07:55 2015	1441687075	3	16	19	15
Tue Sep 08 10:07:55 2015	1441687075	2	17	19	17
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	17
Tue Sep 08 10:07:56 2015	1441687076	1	18	19	18
Tue Sep 08 10:07:55 2015	1441687075	2	18	19	17
Tue Sep 08 10:07:55 2015	1441687075	1	19	19	18
Tue Sep 08 10:07:56 2015	1441687076	1	18	19	18
Tue Sep 08 10:07:56 2015	1441687076	4	15	19	14
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	18
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	18
Tue Sep 08 10:07:55 2015	1441687075	1	18	19	18
Tue Sep 08 10:07:55 2015	1441687075	1	18	20	17
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	18
